id,white,citizen,female,education,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,rr1,rr2,rr3,rr4,rrscale,weights,weightstrim
185,1,1,1,5,30,3,5,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,1,,1,1,,0.22527287,0.36148854
640,1,1,1,5,22,1,7,0,0,1,0,3,1,1,Control,1,1,7,1,3,0,1,0,1,2,1,3,1,1,1,1,1,1,4,0.074447006,0.210662676
746,1,1,0,6,65,10,8,1,1,1,0,2,1,3,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,4,2,4,4,14,0.450478775,0.586694445
820,1,1,0,5,25,2,6,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,3,1,2,1,7,0.058726897,0.194942567
948,1,1,0,6,56,8,7,0,1,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,5,2,5,4,16,0.586402433,0.722618103
1012,1,1,1,3,31,3,5,1,1,1,0,1,1,4,Control,1,1,7,1,3,0,1,0,1,2,3,5,1,1,3,3,3,3,12,1.205056354,1.341272024
1014,1,1,0,3,39,4,7,0,0,1,0,2,1,3,Control,1,1,7,1,3,0,1,0,1,2,3,5,1,1,4,3,4,3,14,0.111608682,0.247824352
1107,1,1,0,5,40,5,11,1,0,1,0,2,1,2,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,2,2,2,1,7,0.236503981,0.372719651
1110,1,1,0,4,56,8,5,0,0,1,0,3,1,2,Control,1,1,7,1,3,0,1,0,1,2,4,6,1,1,2,1,3,1,7,1.947930903,2.084146573
1191,1,1,1,3,21,1,9,0,0,1,0,2,1,1,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,1,1,1,1,4,0.460492424,0.596708094
1352,1,1,1,5,28,2,5,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,3,2,5,1,1,1,1,1,1,4,0.129967831,0.266183501
1768,1,1,0,5,33,3,7,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,2,3,5,1,1,1,1,2,1,5,0.11525833,0.251474
1794,1,1,1,3,46,6,11,1,1,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,4,4,3,4,15,0.501007687,0.637223358
1913,1,1,1,6,35,4,9,1,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,3,1,2,1,7,0.093221625,0.229437295
1986,1,1,1,6,45,6,8,1,1,4,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,2,2,4,1,1,1,1,1,1,4,0.249375304,0.385590974
2216,1,1,1,6,30,3,8,1,0,1,0,3,1,2,Control,1,1,7,1,3,0,1,0,1,2,3,5,1,1,2,2,3,2,9,0.071613209,0.207828879
2362,1,1,1,5,37,4,4,1,1,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,2,4,6,1,1,2,2,3,1,8,0.037906357,0.041488538
2434,1,1,1,2,45,6,7,1,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,3,3,6,1,1,2,1,2,2,7,0.593861956,0.730077626
2473,1,1,1,3,19,1,9,0,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,3,2,5,1,1,4,2,2,2,10,0.464045862,0.600261532
2482,1,1,1,5,35,4,6,1,1,4,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,3,2,5,1,1,1,1,1,1,4,0.061355249,0.197570919
2837,1,1,1,3,24,1,6,1,1,3,1,3,1,2,Control,1,1,7,1,3,0,1,0,1,2,1,3,1,1,1,2,2,1,6,0.011920836,0.041488538
2974,1,1,1,5,25,2,8,0,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,2,3,5,1,1,2,2,2,2,8,0.075541479,0.211757149
3054,1,1,0,6,27,2,5,1,1,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,2,4,6,1,1,2,1,2,1,6,0.12400594,0.26022161
125,1,1,1,4,26,2,7,0,1,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,4,3,7,2,1,1,1,2,1,5,0.279537052,0.415752723
367,1,1,1,6,26,2,2,0,0,1,0,2,1,2,Control,1,1,7,1,3,0,1,0,1,3,4,7,2,1,3,2,3,3,11,0.345091839,0.481307509
761,1,1,1,2,35,4,7,0,1,1,0,2,1,2,Control,1,1,7,1,3,0,1,0,1,4,3,7,2,1,4,4,4,3,15,0.953709695,1.089925365
917,1,1,0,5,34,3,6,1,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,5,2,7,2,1,3,2,4,2,11,0.054229134,0.190444804
1056,1,1,1,6,31,3,10,1,1,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,3,4,7,2,1,2,2,2,2,8,0.264724077,0.400939747
1104,1,1,1,5,57,8,3,1,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,4,3,7,2,1,3,3,3,3,12,1.083081306,1.219296976
1212,1,1,1,5,24,1,8,0,0,1,0,3,1,3,Control,1,1,7,1,3,0,1,0,1,3,4,7,2,1,2,1,2,5,10,0.21406395,0.35027962
1647,1,1,0,3,30,3,4,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,3,4,7,2,1,1,1,1,1,4,0.156490249,0.29270592
1940,1,1,1,4,70,11,8,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,4,3,7,2,1,2,2,2,3,9,6.23677247,3.958968505
2990,1,1,0,6,29,2,11,1,0,1,0,3,1,2,Control,1,1,7,1,3,0,1,0,1,3,4,7,2,1,2,2,3,4,11,0.261072632,0.397288302
3187,1,1,0,4,56,8,1,0,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,4,3,7,2,1,5,2,1,1,9,1.921199349,2.05741502
526,1,1,1,5,29,2,11,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,1,1,1,1,4,0.390393407,0.526609077
585,1,1,0,4,39,4,4,0,0,1,0,3,1,2,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,4,2,2,1,9,0.259442658,0.395658329
2191,1,1,1,6,40,5,11,1,1,2,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,3,3,3,3,12,0.710513808,0.846729478
2349,1,1,0,6,69,10,6,1,0,5,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,3,2,2,2,9,2.444961894,2.581177565
2367,1,1,1,3,47,6,6,0,0,2,1,2,1,5,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,2,1,2,2,7,0.556398919,0.69261459
2685,1,1,0,6,43,5,8,1,1,5,0,3,1,4,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,1,2,2,1,6,3.397243627,3.533459297
3074,1,1,0,5,43,5,10,1,1,1,0,3,1,1,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,1,1,2,1,5,0.234213298,0.370428968
3095,1,1,1,6,47,6,7,0,1,5,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,4,4,8,3,2,2,2,2,2,8,1.580347995,1.716563665
258,1,1,1,3,68,10,8,1,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,2,4,2,1,9,1.646562768,1.782778438
328,1,1,0,3,54,7,6,0,0,1,1,2,1,2,Control,1,1,7,1,3,0,1,0,1,5,5,10,4,2,5,5,5,5,20,1.05265762,1.18887329
555,1,1,0,2,28,2,6,0,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,1,1,2,1,5,1.189850873,1.326066543
660,1,1,1,4,54,7,11,1,1,2,0,2,1,2,Control,1,1,7,1,3,0,1,0,1,4,5,9,4,2,2,2,2,2,8,7.986442036,3.958968505
817,1,1,0,5,28,2,7,1,1,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,1,2,2,4,9,0.157165551,0.293381221
1230,1,1,0,4,61,9,1,0,0,1,1,2,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,2,2,3,2,9,4.4466813,3.958968505
1477,1,1,1,1,41,5,2,0,1,3,1,1,1,1,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,4,2,3,3,12,10.54773201,3.958968505
1650,1,1,1,5,27,2,7,1,1,1,0,5,3,1,Control,1,1,7,1,3,0,1,0,1,5,5,10,4,2,5,2,2,4,13,0.058271808,0.194487478
1653,1,1,0,3,25,2,11,0,0,1,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,5,5,10,4,2,1,1,1,1,4,1.870606317,2.006821987
1691,1,1,1,6,32,3,9,1,0,1,0,2,1,4,Control,1,1,7,1,3,0,1,0,1,5,5,10,4,2,1,1,1,1,4,3.320128986,3.456344656
1758,1,1,1,4,48,6,4,1,0,1,0,3,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,1,1,1,1,4,0.364573025,0.500788695
1947,1,1,1,3,26,2,3,0,1,1,1,1,1,1,Control,1,1,7,1,3,0,1,0,1,5,5,10,4,2,3,2,2,4,11,1.345869181,1.482084851
1950,1,1,0,2,28,2,9,1,1,1,1,4,2,4,Control,1,1,7,1,3,0,1,0,1,5,5,10,4,2,1,1,2,1,5,3.482978399,3.619194069
2276,1,1,0,3,39,4,4,0,1,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,2,2,3,2,9,0.383421232,0.519636902
2357,1,1,1,5,58,8,6,0,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,4,5,9,4,2,2,2,2,1,7,0.816308522,0.952524193
2577,1,1,1,5,57,8,8,1,0,2,0,1,1,1,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,4,4,4,4,16,0.969349172,1.105564842
2750,1,1,1,3,50,7,9,1,0,1,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,1,1,1,1,4,1.095002219,1.231217889
2861,1,1,0,6,55,8,8,1,0,2,0,1,1,2,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,2,1,1,1,5,1.542184382,1.678400053
3227,1,1,0,5,56,8,9,1,0,2,0,2,1,3,Control,1,1,7,1,3,0,1,0,1,5,4,9,4,2,4,4,3,3,14,1.420828351,1.557044021
612,1,1,1,5,30,3,6,0,0,1,0,2,1,3,Control,1,1,7,1,3,0,1,0,1,,,,,,,,,,,8.03E-09,0.041488538
120,1,1,0,3,40,5,9,0,1,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,2,3,5,1,1,4,4,4,4,16,0.19598281,0.33219848
206,1,1,1,3,42,5,6,1,1,1,0,2,1,2,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,3,3,3,2,11,0.075746125,0.211961795
308,1,1,0,4,26,2,8,1,1,6,1,6,3,4,Control,1,2,6,1,3,0,1,0,1,2,2,4,1,1,4,5,4,3,16,0.743580666,0.879796336
650,1,1,1,5,26,2,2,0,0,1,0,1,1,1,Control,1,2,6,1,3,0,1,0,1,1,1,2,1,1,1,1,1,1,4,0.084895189,0.22111086
744,1,1,1,4,39,4,9,1,1,1,0,4,2,2,Control,1,2,6,1,3,0,1,0,1,4,2,6,1,1,2,4,4,2,12,0.076597818,0.212813488
748,1,1,1,5,31,3,7,0,0,3,1,1,1,1,Control,1,2,6,1,3,0,1,0,1,3,2,5,1,1,1,1,1,1,4,0.024053238,0.041488538
831,1,1,0,5,26,2,5,0,0,1,0,3,1,3,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,4,4,4,3,15,0.15018641,0.28640208
1292,1,1,0,6,57,8,9,0,0,1,0,2,1,3,Control,1,2,6,1,3,0,1,0,1,2,2,4,1,1,3,2,2,4,11,0.757106893,0.893322564
1360,1,1,1,3,25,2,5,1,1,1,0,6,3,5,Control,1,2,6,1,3,0,1,0,1,2,3,5,1,1,4,4,4,3,15,0.100368851,0.236584521
1379,1,1,1,5,31,3,5,1,1,5,0,1,1,2,Control,1,2,6,1,3,0,1,0,1,3,3,6,1,1,1,1,1,1,4,0.693359208,0.829574878
