id,white,citizen,female,education,age,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,pid2,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,born,citizenship,lived,english,christian,respect,feel,ancestor,exclude,exclude4,wordtreat
2,1,1,1,5,26,26,2,9,0,0,1,0,3,1,1,2,DemPat,3,4,4,2,2,,,0,0,4,3,7,1,1,3,3,3,3,1,3,3,3,22,2,Descriptive
5,1,1,1,2,40,40,5,1,0,0,5,1,7,3,2,4,RepPat,2,6,2,3,1,1,0,1,0,3,5,8,2,1,3,4,4,4,4,4,4,4,31,4,Control
9,1,1,1,5,53,53,7,11,1,0,2,0,2,1,1,4,Control,1,2,6,1,3,0,1,0,1,4,4,8,2,1,3,3,3,3,2,3,3,3,23,2,Prescriptive
12,1,1,1,6,54,54,7,8,1,0,1,1,6,3,2,6,Control,1,7,1,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Descriptive
15,1,1,1,4,43,43,5,6,1,1,5,1,7,3,2,6,RepPat,2,7,1,3,1,1,0,1,0,5,4,9,3,2,4,3,4,4,4,4,4,2,29,4,Descriptive
16,1,1,1,2,33,33,3,1,0,0,1,0,4,2,,4,Control,1,4,4,2,2,,,0,0,5,4,9,3,2,3,3,3,3,1,1,3,3,20,1,Descriptive
19,1,1,0,5,99,99,11,5,0,0,1,0,3,1,1,1,Control,1,5,3,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Control
20,1,1,0,5,30,30,3,9,1,1,5,1,4,2,,4,RepPat,2,6,2,3,1,1,0,1,0,3,2,5,1,1,2,3,2,3,2,3,3,3,21,1,Prescriptive
22,1,1,0,2,21,21,1,11,0,0,6,0,4,2,,7,Control,1,4,4,2,2,,,0,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Control
24,1,1,1,3,68,68,10,8,1,0,1,0,5,3,2,5,RepPat,2,6,2,3,1,1,0,1,0,5,5,10,4,2,1,4,1,4,1,4,4,1,20,1,Descriptive
25,1,1,1,3,54,54,7,7,1,0,1,0,5,3,2,5,DemPat,3,6,2,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,3,4,4,2,29,4,Prescriptive
27,1,1,1,4,20,20,1,7,0,0,3,1,7,3,2,6,DemPat,3,7,1,3,1,1,0,1,0,5,5,10,4,2,3,4,2,4,3,4,4,2,26,3,Control
28,1,1,1,2,81,81,11,5,0,0,5,1,6,3,2,6,DemPat,3,5,3,3,1,1,0,1,0,5,5,10,4,2,3,4,3,4,4,4,4,3,29,4,Prescriptive
34,1,1,1,4,34,34,3,5,1,1,3,1,2,1,1,4,Control,1,4,4,2,2,,,0,0,5,3,8,2,1,,4,4,4,4,4,4,4,,,Control
39,1,1,0,6,66,66,10,11,1,0,1,0,2,1,1,4,DemPat,3,5,3,3,1,1,0,1,0,5,3,8,2,1,2,3,3,3,2,4,3,1,21,1,Descriptive
40,1,1,1,3,51,51,7,5,0,0,1,0,1,1,1,1,RepPat,2,2,6,1,3,0,1,0,1,4,4,8,2,1,1,3,2,3,1,4,3,1,18,1,Prescriptive
42,1,1,1,2,18,18,1,7,0,0,1,0,1,1,1,1,RepPat,2,3,5,1,3,0,1,0,1,4,4,8,2,1,1,4,1,3,1,3,3,1,17,1,Prescriptive
43,1,1,1,2,22,22,1,5,0,1,1,0,6,3,2,3,RepPat,2,6,2,3,1,1,0,1,0,5,4,9,3,2,3,4,2,4,1,4,3,2,23,2,Control
45,1,1,1,6,70,70,11,10,1,0,1,0,3,1,1,2,Control,1,3,5,1,3,0,1,0,1,5,4,9,3,2,3,4,3,4,3,4,3,3,27,3,Descriptive
46,1,1,0,5,68,68,10,8,1,0,1,0,4,2,,4,DemPat,3,4,4,2,2,,,0,0,5,4,9,3,2,2,4,3,4,1,4,4,2,24,2,Control
47,1,1,0,2,48,48,6,5,0,0,1,0,5,3,2,4,DemPat,3,6,2,3,1,1,0,1,0,5,4,9,3,2,4,4,4,3,3,4,4,4,30,4,Prescriptive
48,1,1,0,3,28,28,2,9,1,1,6,1,7,3,2,1,RepPat,2,6,2,3,1,1,0,1,0,4,4,8,2,1,3,3,3,4,4,4,3,4,28,3,Control
50,1,1,1,2,52,52,7,10,1,1,3,0,6,3,2,4,Control,1,6,2,3,1,1,0,1,0,5,4,9,3,2,3,4,2,4,2,3,4,2,24,2,Descriptive
56,1,1,1,3,32,32,3,6,1,1,6,1,7,3,2,6,RepPat,2,7,1,3,1,1,0,1,0,5,4,9,3,2,3,3,4,4,4,4,3,3,28,3,Prescriptive
59,1,1,1,6,34,34,3,3,0,1,1,0,4,2,,4,DemPat,3,5,3,3,1,1,0,1,0,2,2,4,1,1,3,3,3,3,1,3,3,3,22,2,Control
61,1,1,1,6,29,29,2,6,0,0,1,0,2,1,1,4,Control,1,2,6,1,3,0,1,0,1,4,3,7,1,1,1,3,1,3,1,3,2,1,15,1,Control
63,1,1,0,6,27,27,2,5,1,1,5,0,4,2,,4,DemPat,3,4,4,2,2,,,0,0,5,5,10,4,2,4,,,,4,4,4,,,,Prescriptive
